,fold_num,target_score,steps,fit_time,predict_time,accuracy,adjusted_balanced_accuracy,f1_weighted,geometric_mean,roc_auc_ovo,roc_auc_ovr,roc_auc_ovo_weighted,roc_auc_ovr_weighted
0,0,accuracy,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",2.4395759105682373,0.1589512825012207,0.6626648880984141,0.3334553591340082,0.6394933561162719,0.5001166188425997,0.764254521679885,0.7573518886392353,0.7560596554674446,0.7425680606776279
1,0,balanced_accuracy,"[('scale', PowerTransformer()), ('select_before', SelectKBest(k=6)), ('clf', ExtraTreesClassifier(ccp_alpha=0.015400669509352805,
                     class_weight='balanced_subsample', criterion='entropy',
                     max_depth=15, max_leaf_nodes=20,
                     max_samples=0.8133622201504886,
                     min_impurity_decrease=0.027500767561100647,
                     min_samples_leaf=6, min_samples_split=3, n_estimators=195,
                     n_jobs=-1, random_state=2021, verbose=1))]",51.73247504234314,0.5578804016113281,0.6527345486883059,0.38108661267293364,0.6437770482267292,0.5569323755068528,0.7791851965828127,0.7673509445532783,0.7667553924826469,0.7491730817404452
2,0,f1_weighted,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",2.4395759105682373,0.1589512825012207,0.6626648880984141,0.3334553591340082,0.6394933561162719,0.5001166188425997,0.764254521679885,0.7573518886392353,0.7560596554674446,0.7425680606776279
3,0,geometric_mean,"[('scale', PowerTransformer()), ('select_before', SelectKBest(k=6)), ('clf', ExtraTreesClassifier(ccp_alpha=0.015400669509352805,
                     class_weight='balanced_subsample', criterion='entropy',
                     max_depth=15, max_leaf_nodes=20,
                     max_samples=0.8133622201504886,
                     min_impurity_decrease=0.027500767561100647,
                     min_samples_leaf=6, min_samples_split=3, n_estimators=195,
                     n_jobs=-1, random_state=2021, verbose=1))]",51.73247504234314,0.5578804016113281,0.6527345486883059,0.38108661267293364,0.6437770482267292,0.5569323755068528,0.7791851965828127,0.7673509445532783,0.7667553924826469,0.7491730817404452
4,0,roc_auc_ovo,"[('scale', PowerTransformer()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.012036346455314751, class_weight='balanced',
                     max_leaf_nodes=50, max_samples=0.9747622182167597,
                     min_impurity_decrease=0.004725260889063387,
                     min_samples_leaf=6, n_estimators=188, n_jobs=-1,
                     random_state=2021, verbose=1))]",48.48235630989075,0.549903154373169,0.6453238476359864,0.37801114789838897,0.6399719197005725,0.5617040303279709,0.7696891047107502,0.7603119419999006,0.7594587909120321,0.7442139504860471
5,0,roc_auc_ovr,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",2.4395759105682373,0.1589512825012207,0.6626648880984141,0.3334553591340082,0.6394933561162719,0.5001166188425997,0.764254521679885,0.7573518886392353,0.7560596554674446,0.7425680606776279
6,0,roc_auc_ovo_weighted,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",2.4395759105682373,0.1589512825012207,0.6626648880984141,0.3334553591340082,0.6394933561162719,0.5001166188425997,0.764254521679885,0.7573518886392353,0.7560596554674446,0.7425680606776279
7,0,roc_auc_ovr_weighted,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",2.4395759105682373,0.1589512825012207,0.6626648880984141,0.3334553591340082,0.6394933561162719,0.5001166188425997,0.764254521679885,0.7573518886392353,0.7560596554674446,0.7425680606776279
0,1,accuracy,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",1.8198626041412354,0.1484677791595459,0.6398819854217286,0.3502528978147363,0.6341079249681658,0.546233152572247,0.7788696239397228,0.7699871048068755,0.7675487069702126,0.7529616006122064
1,1,balanced_accuracy,"[('scale', PowerTransformer()), ('select_before', SelectKBest(k=6)), ('clf', ExtraTreesClassifier(bootstrap=True, ccp_alpha=0.0386207591845851,
                     class_weight='balanced', criterion='entropy', max_depth=25,
                     max_leaf_nodes=40, max_samples=0.8728603436522121,
                     min_impurity_decrease=0.03392211771932527,
                     min_samples_split=3, n_estimators=88, n_jobs=-1,
                     random_state=2021, verbose=1))]",50.383665800094604,0.43894529342651367,0.6346754599097536,0.3712511402524501,0.6338344008162607,0.5689272438177151,0.7986524613725322,0.7847990167714576,0.7825539466713701,0.7615250131058849
2,1,f1_weighted,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",1.8198626041412354,0.1484677791595459,0.6398819854217286,0.3502528978147363,0.6341079249681658,0.546233152572247,0.7788696239397228,0.7699871048068755,0.7675487069702126,0.7529616006122064
3,1,geometric_mean,"[('scale', PowerTransformer()), ('select_before', SelectKBest(k=6)), ('clf', ExtraTreesClassifier(bootstrap=True, ccp_alpha=0.0386207591845851,
                     class_weight='balanced', criterion='entropy', max_depth=25,
                     max_leaf_nodes=40, max_samples=0.8728603436522121,
                     min_impurity_decrease=0.03392211771932527,
                     min_samples_split=3, n_estimators=88, n_jobs=-1,
                     random_state=2021, verbose=1))]",50.383665800094604,0.43894529342651367,0.6346754599097536,0.3712511402524501,0.6338344008162607,0.5689272438177151,0.7986524613725322,0.7847990167714576,0.7825539466713701,0.7615250131058849
4,1,roc_auc_ovo,"[('scale', PowerTransformer()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.004054689740604761,
                     class_weight='balanced_subsample', max_depth=10,
                     max_leaf_nodes=20, max_samples=0.920571102661142,
                     min_impurity_decrease=0.000669631864766318,
                     min_samples_leaf=8, n_estimators=161, n_jobs=-1,
                     random_state=2021, verbose=1))]",49.69115710258484,0.4999232292175293,0.6314647691773689,0.37007851365463734,0.6312263488680262,0.5669450285067189,0.7899756073257267,0.7775523326681135,0.7756092796129068,0.7580142030460231
5,1,roc_auc_ovr,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",1.8198626041412354,0.1484677791595459,0.6398819854217286,0.3502528978147363,0.6341079249681658,0.546233152572247,0.7788696239397228,0.7699871048068755,0.7675487069702126,0.7529616006122064
6,1,roc_auc_ovo_weighted,"[('scale', StandardScaler()), ('select_before', SelectKBest(k=5)), ('clf', ExtraTreesClassifier(ccp_alpha=0.04797808973893954, class_weight='balanced',
                     max_depth=10, max_leaf_nodes=40,
                     max_samples=0.832172251549802,
                     min_impurity_decrease=0.06501836170991304,
                     min_samples_leaf=7, min_samples_split=4, n_estimators=175,
                     n_jobs=-1, random_state=2021, verbose=1))]",1.8198626041412354,0.1484677791595459,0.6398819854217286,0.3502528978147363,0.6341079249681658,0.546233152572247,0.7788696239397228,0.7699871048068755,0.7675487069702126,0.7529616006122064
